date,open,close,high,low,volume,money
2020-09-11,49.76,59.71,59.71,49.76,660071.0,39309534.15
2020-09-14,65.68,65.68,65.68,65.68,287011.0,18851311.62
2020-09-15,72.25,72.25,72.25,72.25,209830.0,15159863.04
2020-09-16,79.47,79.47,79.47,79.47,332449.0,26421213.29
2020-09-17,87.42,87.42,87.42,87.42,353854.0,30933912.94
2020-09-18,96.16,96.16,96.16,96.16,2751855.0,264631061.28
2020-09-21,105.77,105.78,105.78,103.23,12607537.0,1331938217.0
2020-09-22,111.89,116.36,116.36,108.89,19409570.0,2210079547.04
2020-09-23,127.99,127.99,127.99,127.99,472250.0,60444645.78
2020-09-24,133.2,136.52,140.79,132.54,17493646.0,2404653120.06
2020-09-25,135.53,139.86,144.52,130.98,13957362.0,1913329874.23
2020-09-28,134.57,130.87,136.2,128.94,9626928.0,1276123011.26
2020-09-29,129.87,124.54,133.53,124.54,7618104.0,977079814.96
2020-09-30,125.21,119.87,126.53,116.38,12116223.0,1457389078.6
2020-10-09,121.21,123.7,124.84,116.38,11177428.0,1346752408.08
2020-10-12,121.18,123.77,124.2,119.28,8191185.0,999992031.47
2020-10-13,123.21,124.21,126.21,119.95,7995775.0,986975825.77
2020-10-14,123.22,130.38,131.13,119.28,9168778.0,1147898723.38
2020-10-15,127.87,118.88,127.87,117.34,10959352.0,1335123688.46
2020-10-16,121.87,123.34,126.93,121.55,7781495.0,964474902.39
2020-10-19,122.92,129.74,134.53,122.92,7973206.0,1028087568.43
2020-10-20,128.87,132.2,134.37,126.89,5753831.0,751627005.28
2020-10-21,131.2,129.21,133.87,128.55,4772034.0,624716707.89
2020-10-22,128.07,136.53,136.53,127.91,7071100.0,939535881.6
2020-10-23,135.8,131.87,136.46,129.21,5724827.0,761364671.16
2020-10-26,129.87,130.63,133.87,126.79,3368775.0,437939604.11
2020-10-27,123.97,120.54,124.81,117.58,9536809.0,1155716442.93
2020-10-28,119.88,120.08,122.08,117.74,3715420.0,445354236.46
2020-10-29,117.08,118.88,120.19,116.58,3215054.0,381539808.87
2020-10-30,119.22,108.89,119.79,108.67,7042901.0,796293027.38
2020-11-02,107.33,112.92,113.02,107.33,3479424.0,384558829.66
2020-11-03,112.22,116.31,119.13,110.9,3704362.0,428195831.3
2020-11-04,116.06,121.73,122.55,116.06,4752627.0,571752683.15
2020-11-05,121.66,120.41,122.62,119.22,2879231.0,348414801.29
2020-11-06,120.03,122.55,125.08,120.03,2903881.0,355553757.44
2020-11-09,121.58,121.65,124.09,120.77,3178664.0,388515351.1
2020-11-10,121.55,115.95,121.55,113.69,4277681.0,499215389.46
2020-11-11,115.22,115.02,118.88,114.03,2469227.0,287511625.97
2020-11-12,115.16,113.63,115.69,112.08,1800819.0,203952434.36
2020-11-13,113.17,112.08,113.92,110.91,2231370.0,250757892.72
2020-11-16,112.58,116.18,117.22,112.16,3648056.0,421422530.06
2020-11-17,115.96,119.14,120.41,115.14,3983478.0,471998617.28
2020-11-18,118.55,123.47,123.68,117.22,4320319.0,521485824.08
2020-11-19,122.55,121.81,125.48,121.21,3623901.0,445528579.4
2020-11-20,121.88,128.02,130.31,121.25,4691031.0,591008903.74
2020-11-23,127.87,127.65,130.54,125.28,3804619.0,486440552.02
2020-11-24,127.21,127.23,131.47,126.38,3247655.0,417831172.34
2020-11-25,127.17,122.27,127.17,122.27,3325311.0,412538201.69
2020-11-26,121.98,123.51,123.55,119.6,2337203.0,284481689.9
2020-11-27,122.78,123.08,124.28,121.47,1623448.0,199284700.43
2020-11-30,123.09,118.6,123.09,117.66,3156216.0,377054261.51
2020-12-01,117.88,120.93,121.65,117.22,2012862.0,241474095.93
2020-12-02,120.69,124.71,126.21,120.48,3247130.0,401543646.83
2020-12-03,124.54,124.55,127.14,122.49,2123985.0,265010541.24
2020-12-04,123.87,126.13,126.87,122.58,2386304.0,297892002.0
2020-12-07,126.69,129.27,130.7,124.88,3291856.0,423211172.29
2020-12-08,129.21,125.28,129.31,124.58,2699150.0,340876451.7
2020-12-09,125.11,121.3,127.2,121.3,2166993.0,269026357.24
2020-12-10,121.42,129.6,133.43,121.21,7734246.0,1008865249.95
2020-12-11,129.89,142.56,142.56,129.21,8674850.0,1184804402.99
2020-12-14,144.39,147.19,147.71,137.86,7177039.0,1029516673.24
2020-12-15,141.81,136.38,142.82,135.54,6464985.0,893344106.62
2020-12-16,137.2,137.15,139.86,134.53,3780230.0,518702072.62
2020-12-17,135.87,143.16,143.29,134.83,4269897.0,591617898.04
2020-12-18,141.18,139.15,141.48,137.73,2818858.0,393637287.75
2020-12-21,138.74,153.06,153.06,138.54,3879087.0,574481661.53
2020-12-22,153.69,155.03,161.09,150.62,5485979.0,855478257.53
2020-12-23,154.83,158.51,163.76,152.3,4740414.0,751751769.58
2020-12-24,158.51,153.32,161.09,151.86,3311897.0,512162665.12
2020-12-25,153.4,156.64,157.84,147.92,2925550.0,449611236.48
2020-12-28,156.51,140.98,158.51,140.98,5292145.0,785344636.39
2020-12-29,135.2,130.25,135.75,126.88,8038464.0,1047394291.49
2020-12-30,128.87,129.07,130.38,123.37,4041207.0,516861434.85
2020-12-31,128.95,126.74,130.72,126.07,4689603.0,599075518.72
2021-01-04,127.87,134.46,135.73,127.07,4967679.0,652232216.78
2021-01-05,134.27,133.8,138.05,131.21,3805780.0,512351041.87
2021-01-06,133.87,129.14,137.78,124.54,5276825.0,685133635.56
2021-01-07,127.27,124.56,128.02,123.37,4228638.0,527325788.39
2021-01-08,123.08,123.0,124.67,117.88,3565397.0,433323659.44
2021-01-11,123.01,125.81,125.81,119.21,3725737.0,456639290.89
2021-01-12,124.94,127.09,131.2,124.54,3617781.0,461789741.01
2021-01-13,127.13,122.89,128.53,122.74,2868788.0,358359668.29
2021-01-14,122.61,123.23,125.76,118.56,2582382.0,316619933.75
2021-01-15,122.64,124.58,126.15,120.73,2080106.0,257565570.2
2021-01-18,123.88,122.78,124.53,122.44,1921971.0,237057685.36
2021-01-19,122.48,127.13,129.13,120.89,3455736.0,433504854.79
2021-01-20,125.88,127.12,127.56,123.88,2196252.0,276306909.03
2021-01-21,127.11,128.21,130.2,126.07,2616675.0,334360337.24
2021-01-22,128.14,126.61,128.14,124.88,2331575.0,293780995.5
