Date,Open,Close,High,Low,Volume
2022-01-04,2055.0,2051.23,2068.95,2014.0,33843.0
2022-01-05,2045.0,2024.0,2065.0,2018.0,28396.0
2022-01-06,2022.01,1982.22,2036.0,1938.51,51795.0
2022-01-07,1975.0,1942.0,1988.88,1939.32,29817.0
2022-01-10,1928.01,1966.0,1977.0,1917.55,29627.0
2022-01-11,1948.0,1940.55,1965.0,1931.17,22277.0
2022-01-12,1948.0,1967.0,1978.8,1948.0,27474.0
2022-01-13,1964.82,1877.39,1967.99,1865.56,56747.0
2022-01-14,1877.39,1867.0,1893.0,1863.0,29322.0
2022-01-17,1868.0,1861.61,1878.3,1835.34,27354.0
2022-01-18,1861.68,1892.27,1908.85,1852.0,31216.0
2022-01-19,1919.0,1912.0,1919.0,1888.88,26371.0
2022-01-20,1916.0,1969.52,1979.99,1916.0,34014.0
2022-01-21,1960.0,1984.99,1993.49,1951.01,30813.0
