Date,Open,Close,High,Low,Volume
2021-01-04,90.3,94.12,95.19,90.0,207791.0
2021-01-05,93.8,97.62,98.8,93.25,246271.0
2021-01-06,97.7,98.42,100.23,95.9,207364.0
2021-01-07,103.8,106.99,108.26,102.59,553054.0
2021-01-08,107.0,109.0,109.58,106.7,285837.0
2021-01-11,108.97,108.67,111.17,106.32,248373.0
2021-01-12,107.53,113.01,113.8,107.18,252848.0
2021-01-13,113.85,113.69,118.18,112.0,250150.0
2021-01-14,111.56,109.65,113.57,108.61,232267.0
2021-01-15,110.6,107.7,110.96,105.0,219453.0
2021-01-18,108.29,109.8,111.79,106.15,193956.0
2021-01-19,109.91,107.49,112.21,106.0,192540.0
2021-01-20,108.5,109.95,111.22,108.1,139101.0
2021-01-21,111.2,113.44,116.7,110.49,243934.0
2021-01-22,113.41,116.49,118.28,112.55,164853.0
2021-01-25,116.9,116.51,119.3,114.41,195065.0
2021-01-26,115.29,117.0,118.2,113.69,138868.0
2021-01-27,118.03,115.31,118.9,112.33,184566.0
2021-01-28,113.53,111.37,115.88,110.5,161301.0
2021-01-29,114.76,111.8,115.38,110.5,164000.0
2021-02-01,113.44,121.07,121.07,113.44,275282.0
2021-02-02,121.19,121.08,121.29,115.55,230558.0
2021-02-03,122.0,123.19,126.37,119.76,222753.0
2021-02-04,123.6,130.0,130.4,123.2,238357.0
2021-02-05,131.3,123.75,131.89,122.66,288310.0
2021-02-08,123.77,131.89,131.89,120.78,229022.0
2021-02-09,133.29,137.39,137.39,130.5,240644.0
2021-02-10,135.5,140.42,141.09,135.32,192013.0
2021-02-18,146.5,143.98,150.18,141.87,305706.0
2021-02-19,142.11,137.48,146.3,131.77,318424.0
2021-02-22,140.0,135.35,141.85,134.55,372585.0
2021-02-23,135.63,130.79,137.5,128.9,287455.0
2021-02-24,133.33,128.82,135.96,126.13,438074.0
2021-02-25,135.13,133.35,137.5,131.77,296341.0
2021-02-26,131.9,130.8,137.2,130.77,343158.0
2021-03-01,131.1,130.14,133.49,125.55,386018.0
2021-03-02,132.0,122.42,132.09,121.2,425592.0
2021-03-03,123.07,125.85,126.6,122.8,237466.0
2021-03-04,123.35,114.32,124.7,113.27,442867.0
2021-03-05,113.24,109.79,114.98,109.68,408050.0
2021-03-08,112.5,107.89,117.33,107.72,379864.0
2021-03-09,106.1,104.02,109.59,104.0,350231.0
2021-03-10,107.1,108.93,110.82,106.78,333670.0
2021-03-11,109.95,110.75,113.58,108.31,343934.0
2021-03-12,113.82,116.33,116.43,113.0,359710.0
2021-03-15,117.8,113.28,118.44,111.1,294937.0
2021-03-16,113.3,117.19,117.5,113.28,209525.0
2021-03-17,117.17,118.0,119.35,113.0,242101.0
2021-03-18,119.3,118.18,119.47,117.0,171184.0
2021-03-19,114.8,115.24,116.68,111.91,205998.0
2021-03-22,114.08,110.3,115.89,108.35,302156.0
2021-03-23,110.7,108.0,110.77,103.17,377522.0
2021-03-24,107.18,101.36,107.18,100.26,356971.0
2021-03-25,100.85,103.88,105.95,100.7,234429.0
2021-03-26,105.65,108.23,109.0,104.03,210694.0
2021-03-29,109.4,111.19,113.82,107.71,231129.0
2021-03-30,111.35,111.25,112.38,109.4,149531.0
2021-03-31,109.11,105.6,109.9,104.06,285188.0
2021-04-01,106.4,107.76,107.8,105.03,154281.0
2021-04-02,108.52,111.5,111.97,108.22,174603.0
2021-04-06,112.05,107.24,112.3,106.35,195041.0
2021-04-07,108.63,106.93,109.34,104.6,179475.0
2021-04-08,107.01,109.12,109.85,105.01,194667.0
2021-04-09,111.74,106.9,111.9,106.55,172699.0
2021-04-12,109.99,100.07,109.99,99.0,484016.0
2021-04-13,101.0,104.43,106.66,100.1,355990.0
2021-04-14,104.43,105.31,106.26,103.62,167507.0
2021-04-15,106.0,104.52,106.32,102.3,147257.0
2021-04-16,105.5,103.55,106.36,101.3,186312.0
2021-04-19,103.2,107.94,108.4,101.43,269726.0
2021-04-20,107.1,112.02,113.2,107.04,274251.0
2021-04-21,109.93,111.82,112.77,109.33,189076.0
2021-04-22,112.69,109.6,113.06,107.8,149930.0
2021-04-23,109.58,111.12,112.56,108.65,156665.0
2021-04-26,110.99,108.75,113.18,108.35,187199.0
2021-04-27,108.9,107.41,109.22,106.04,141734.0
2021-04-28,107.99,108.48,108.6,104.15,136979.0
2021-04-29,107.0,105.49,107.01,104.0,256199.0
2021-04-30,104.51,102.74,105.12,101.6,253040.0
2021-05-06,102.0,104.88,106.2,101.94,204123.0
2021-05-07,105.35,106.62,109.97,104.0,255934.0
2021-05-10,108.88,103.66,108.97,102.4,217645.0
2021-05-11,102.5,104.12,104.45,100.0,195985.0
2021-05-12,102.99,105.83,106.36,102.99,135642.0
2021-05-13,104.79,99.75,104.87,98.77,345500.0
2021-05-14,99.76,103.4,103.46,99.41,257751.0
2021-05-17,101.82,108.97,109.66,101.8,351711.0
2021-05-18,109.62,108.44,110.44,106.99,132789.0
2021-05-19,108.5,108.4,109.5,106.38,112532.0
2021-05-20,107.0,105.08,107.32,103.84,201604.0
2021-05-21,106.37,103.5,106.48,102.38,161538.0
2021-05-24,103.5,104.07,104.29,101.69,153070.0
2021-05-25,104.32,109.19,109.32,103.7,269026.0
2021-05-26,109.95,111.94,112.78,109.85,252849.0
2021-05-27,109.01,111.0,111.99,108.38,197033.0
2021-05-28,111.5,109.3,112.6,108.57,169196.0
2021-05-31,109.0,108.78,109.3,107.01,179748.0
2021-06-01,108.02,116.85,117.15,108.02,340424.0
2021-06-02,117.5,116.29,117.8,114.58,190022.0
2021-06-03,116.29,112.98,117.1,112.84,193028.0
2021-06-04,112.2,113.9,114.84,112.0,174009.0
2021-06-07,114.06,113.71,114.7,112.25,171094.0
2021-06-08,114.02,111.06,114.18,109.66,188904.0
2021-06-09,110.0,114.8,114.8,109.7,250511.0
2021-06-10,114.0,114.16,115.4,113.4,187008.0
2021-06-11,114.45,114.8,117.1,113.62,201708.0
2021-06-15,114.85,114.72,119.9,114.2,216300.0
2021-06-16,115.1,110.01,117.88,109.85,247320.0
2021-06-17,108.44,107.81,110.16,106.23,222749.0
2021-06-18,107.7,104.2,107.7,102.7,338609.0
2021-06-21,103.46,105.0,105.35,102.7,180901.0
2021-06-22,106.0,106.73,108.26,106.0,156959.0
2021-06-23,107.0,104.89,107.0,104.54,163754.0
2021-06-24,105.28,104.99,105.5,103.55,110453.0
2021-06-25,104.66,109.5,109.97,104.66,255554.0
2021-06-28,110.0,108.27,110.4,107.0,177661.0
2021-06-29,107.21,107.77,108.79,107.05,134920.0
2021-06-30,107.78,108.82,110.18,107.11,140679.0
2021-07-01,109.48,106.99,109.48,105.01,158233.0
2021-07-02,105.51,103.95,106.5,103.57,174884.0
2021-07-05,105.15,112.66,112.8,105.0,477804.0
2021-07-06,114.0,118.9,119.0,114.0,408949.0
