Date,Open,Close,High,Low,Volume
2022-01-04,101.05,100.05,101.53,98.78,141545.0
2022-01-05,99.79,100.55,103.5,99.5,133877.0
2022-01-06,100.02,100.95,102.79,100.0,103596.0
2022-01-07,100.96,102.85,104.11,100.6,136443.0
2022-01-10,103.0,100.7,103.96,100.41,126873.0
2022-01-11,100.18,98.2,100.8,98.0,118940.0
2022-01-12,98.18,99.19,99.57,97.02,91404.0
2022-01-13,98.7,97.07,99.6,96.88,90773.0
2022-01-14,97.03,96.1,97.89,95.4,90253.0
2022-01-17,96.3,95.53,96.98,95.32,92002.0
2022-01-18,96.29,98.8,99.28,96.2,179503.0
2022-01-19,98.6,96.47,98.66,96.02,130631.0
2022-01-20,96.5,95.32,96.8,94.8,113035.0
2022-01-21,95.2,93.67,95.38,92.91,133166.0
