Date,Open,Close,High,Low,Volume
2021-01-04,13.01,13.45,13.63,13.0,1456685.0
2021-01-05,13.29,13.56,13.79,13.13,1318892.0
2021-01-06,13.61,13.51,13.75,13.21,1120725.0
2021-01-07,13.35,13.95,14.0,13.29,1874549.0
2021-01-08,14.15,13.81,14.24,13.32,1237021.0
2021-01-11,13.85,14.29,15.12,13.77,2553364.0
2021-01-12,14.19,14.55,14.55,13.73,1619158.0
2021-01-13,14.6,15.33,15.75,14.6,2515866.0
2021-01-14,15.36,15.3,15.65,14.8,1586166.0
2021-01-15,15.2,13.84,15.56,13.77,2503614.0
2021-01-18,15.0,15.22,15.22,14.53,2359505.0
2021-01-19,15.2,14.46,15.32,14.23,2148811.0
2021-01-20,14.51,15.91,15.91,14.3,2484506.0
2021-01-21,16.6,17.5,17.5,16.55,1658217.0
2021-01-22,18.49,18.3,19.2,18.12,4612377.0
2021-01-25,18.6,18.01,19.54,17.98,3923862.0
2021-01-26,17.52,18.89,19.36,17.51,3506055.0
2021-01-27,18.39,18.0,18.39,17.0,2857182.0
2021-01-28,17.42,17.63,18.57,17.42,2264381.0
2021-01-29,18.4,17.8,18.55,17.34,2213291.0
2021-02-01,17.25,17.01,17.65,16.3,1746838.0
2021-02-02,17.5,18.19,18.49,16.51,2285836.0
2021-02-03,17.8,19.34,19.95,17.64,2925759.0
2021-02-04,19.0,18.06,19.22,17.66,2295054.0
2021-02-05,17.95,16.32,18.05,16.25,2124082.0
2021-02-08,16.32,16.76,17.1,15.67,1519504.0
2021-02-09,16.79,18.1,18.38,16.71,1830434.0
2021-02-10,18.18,18.77,19.19,17.76,2100022.0
2021-02-18,20.19,20.15,20.48,19.37,2426806.0
2021-02-19,19.53,19.69,20.23,18.88,2078965.0
2021-02-22,20.38,21.66,21.66,20.37,2115878.0
2021-02-23,21.45,21.38,22.49,20.66,3562800.0
2021-02-24,20.8,20.05,20.93,19.76,2425062.0
2021-02-25,20.78,20.0,20.86,19.42,1861752.0
2021-02-26,19.1,20.69,21.57,18.97,2423659.0
2021-03-01,20.8,22.76,22.76,20.14,3503464.0
2021-03-02,23.0,22.25,24.58,21.8,4011096.0
2021-03-03,21.89,23.82,24.0,21.72,3113648.0
2021-03-04,23.1,23.25,24.76,22.9,3424041.0
2021-03-05,22.0,21.59,22.6,21.19,2302212.0
2021-03-08,22.71,22.34,23.38,21.88,2825034.0
2021-03-09,21.15,20.11,21.35,20.11,2724937.0
2021-03-10,20.11,20.42,20.96,19.28,2075620.0
2021-03-11,20.85,22.24,22.24,20.56,2408221.0
2021-03-12,22.15,22.38,23.2,21.79,2336296.0
2021-03-15,21.73,22.21,22.93,21.6,1543307.0
2021-03-16,22.5,21.14,22.56,20.51,2051815.0
2021-03-17,20.62,21.03,21.36,20.3,1168272.0
2021-03-18,21.13,20.03,21.31,19.98,1700652.0
2021-03-19,19.5,19.87,20.46,19.38,1515232.0
2021-03-22,19.95,19.72,20.36,19.41,1238799.0
2021-03-23,19.77,18.46,19.88,18.18,1893775.0
2021-03-24,18.44,17.45,18.67,17.38,1639323.0
2021-03-25,17.72,17.89,18.35,17.62,1435926.0
2021-03-26,18.01,18.72,18.99,17.7,1649095.0
2021-03-29,18.7,18.58,19.2,18.22,1243639.0
2021-03-30,18.53,19.86,20.37,18.41,1965855.0
2021-03-31,19.48,19.12,19.66,18.82,1160767.0
2021-04-01,19.05,19.24,19.75,18.9,886881.0
2021-04-02,19.19,18.99,19.44,18.72,800636.0
2021-04-06,18.99,19.16,19.45,18.9,662761.0
2021-04-07,19.1,19.95,20.25,18.64,1567180.0
2021-04-08,19.84,19.95,20.36,19.46,1335606.0
2021-04-09,19.96,20.32,20.68,19.7,1460041.0
2021-04-12,20.13,19.52,20.8,19.5,1232596.0
2021-04-13,19.43,18.71,19.65,18.49,1178674.0
2021-04-14,18.63,18.94,19.04,18.63,666540.0
2021-04-15,18.61,19.29,19.45,18.2,1018055.0
2021-04-16,19.33,19.05,19.41,18.7,763499.0
2021-04-19,18.95,19.95,20.14,18.65,1314278.0
2021-04-20,19.95,20.6,21.4,19.91,1863745.0
2021-04-21,20.4,20.88,21.4,20.35,1449802.0
2021-04-22,20.73,20.7,20.99,20.23,1062893.0
2021-04-23,20.72,20.69,21.05,20.13,1164841.0
2021-04-26,20.68,20.33,21.35,20.22,1130430.0
2021-04-27,20.33,20.6,20.88,20.01,904065.0
2021-04-28,20.61,21.35,21.36,20.3,1476131.0
2021-04-29,20.78,20.49,20.89,20.33,1525253.0
2021-04-30,20.5,20.35,20.77,20.03,964792.0
2021-05-06,20.3,20.5,20.56,19.68,1381081.0
2021-05-07,20.46,21.62,22.15,20.3,2361134.0
2021-05-10,21.74,22.27,22.49,21.31,1988083.0
2021-05-11,21.67,21.21,21.75,20.88,1277630.0
2021-05-12,21.08,21.39,21.7,21.02,821251.0
2021-05-13,20.8,20.15,21.08,20.02,1163165.0
2021-05-14,20.14,20.15,20.39,19.51,939948.0
2021-05-17,20.09,20.58,20.58,19.9,858475.0
2021-05-18,20.63,20.61,21.04,20.44,879829.0
2021-05-19,20.34,21.0,21.08,19.88,1138405.0
2021-05-20,20.5,20.16,20.65,20.11,961749.0
2021-05-21,20.15,19.9,20.36,19.85,816800.0
2021-05-24,19.77,19.09,19.77,18.85,1180928.0
2021-05-25,19.05,19.38,19.45,18.96,703081.0
2021-05-26,19.38,20.29,20.55,19.18,1433290.0
2021-05-27,20.03,20.3,20.52,20.0,943275.0
2021-05-28,20.6,20.44,20.94,20.29,1127743.0
2021-05-31,20.7,21.97,22.2,20.68,2167016.0
2021-06-01,21.71,22.02,22.1,21.35,1452838.0
2021-06-02,21.94,21.88,22.51,21.67,1510437.0
2021-06-03,21.88,22.69,23.43,21.8,2069631.0
2021-06-04,22.23,22.5,22.9,22.15,1122662.0
2021-06-07,22.43,22.42,22.79,21.9,881802.0
2021-06-08,22.24,21.58,22.74,21.43,1015748.0
2021-06-09,21.54,21.36,21.84,21.25,620986.0
2021-06-10,21.32,21.43,21.79,21.2,729162.0
2021-06-11,21.43,20.85,21.5,20.3,948122.0
2021-06-15,20.91,19.98,21.13,19.94,964907.0
2021-06-16,19.93,19.17,20.3,19.03,1184695.0
2021-06-17,19.2,19.23,19.43,18.98,761134.0
2021-06-18,19.0,19.51,19.74,18.55,1081804.0
2021-06-21,19.29,19.67,19.85,19.13,795056.0
2021-06-22,19.73,20.48,20.98,19.46,1445438.0
2021-06-23,20.2,20.19,20.38,19.91,919413.0
2021-06-24,20.12,20.36,20.82,19.89,1068872.0
2021-06-25,20.37,20.34,20.46,20.02,738278.0
